X	Y	OBJECTID	ID	YEAR	LENGTH__FT	LOCATION_D
-83.000903	39.96293445	20	19	2008	21	Center of Lynn St between Wall St and terminus at High St
-83.004402	39.97119329	21	20	2009	156	East side of Front St between Vine St and Nationwide Blvd (Parallel Parking)
-82.99572807	39.9642923	22	21	2009	18	North side of Gay St between Fourth St and Arman Alley
-83.00125956	39.95686619	23	22	2009	0	Parking Garage on Front St between Rich St and Cherry St
-83.00247999	39.95832738	24	23	2009	22	East side of Ludlow St between Rich St and Town St
-82.99171778	39.95965011	25	24	2010	11	South side of Town St between Fifth St and Grant Ave
-82.99650314	39.96473448	26	25	2010	0	Parking Garage on Fourth St between Elm St and Gay St
-83.00867411	39.99540221	27	26	2010	27	North side of Eleventh Ave between High St and College St
-83.00417171	39.99992112	28	29	2008	14	North side of Fifteenth Ave between Pearl St and Indianola Ave
-82.99312957	39.96458932	39	39	2016	33	North side of Gay St between Normandy Ave and 6th St
-83.00670035	39.99988284	29	30	2008	16	South side of Fifteenth Ave between Pearl St and Indianola Ave
-83.00303527	39.95562222	30	27	2008	16	North side of Main St adjacent to Bicentennial Park
-83.00340717	39.97728663	31	28	2008	87	South side of Bollinger Pl between High St and Pearl St
-82.99841741	39.95751319	32	31	2008	44	South side of Rich St between Third St and High St
-83.00449135	39.96803484	33	32	2013	18	West side of Ludlow St between Nationwide Blvd and Locust St
-82.99998027	39.95672275	34	34	2008	21	Center of Cherry St between Wall St and High St
-82.99992667	39.96336233	35	35	2008	58	East side of Pearl St between Lynn St and Gay St (No Permit Required)
-82.99905104	39.96793604	36	33	2014	12	North side of Chestnut St between Pearl St and Third St
-82.99010491	39.97226694	37	37	2014	34	South side of Jack Gibbs Blvd between Cleveland Ave and I-670 Ramp
-83.00491073	39.98241559	38	38	2014	8	West side of High St between 2nd and Starr (In Parking Lot)
-83.00335125	39.97234562	1	10	2008	39	North side of Spruce St between Park St and Wall St
-82.99986362	39.96368467	2	2	2008	8	South side of Gay St between Pearl St and Third St
-83.00250553	39.96331531	3	1	2008	21	South side of Gay St between Front St and Wall St
-82.9968322	39.96399563	4	36	2008	11	South side of Gay St between Lazelle St and Fourth St
-83.00392132	39.97860727	5	12	2008	37	West side of High St between Buttles Ave and Hubbard Ave
-83.00558983	39.98694664	6	11	2008	60	West side of High St between Fourth Ave and Fifth Ave
-83.00009972	39.96379893	7	5	2008	19	West side of Pearl St between Gay St and Elm St
-82.99848912	39.96383769	8	3	2008	15	South side of Gay St between Pearl St and Third St
-82.99814377	39.96387624	9	4	2008	7	South side of Gay St between Third St and Lazelle St
-82.99979055	39.94852222	10	7	2008	33	West side of Front St between Frankfort St and Sycamore St
-83.00056229	39.9529799	11	8	2008	25	East side of Front St between Livingston Ave and Fulton St
-83.00051425	39.95327732	12	9	2008	27	South side of Fulton St between Front St and High St
-83.00041856	39.96298447	13	6	2008	25	Center of Lynn St between Pearl and High St
-83.00490123	39.97547319	14	13	2008	27	West side of Park St between Goodale St and Buttles Ave
-83.00469117	39.97225649	15	14	2008	40	West side of Park St between Spruce St and Goodale St
-83.00455866	39.97190122	16	15	2008	45	East side of Park St between Vine St and Spruce St
-83.00133972	39.96424869	17	16	2008	108	Both sides of Elm St between Wall St and terminus at High St
-82.99588231	39.96357493	18	17	2008	37	North side of Lynn St between Fourth St and Young St
